id_projeto,id_freelancer,nota,comentario
44,1500,3,"Quo aliquam minus ipsam soluta quidem distinctio. Vero odit cum quos modi enim perferendis at.
Architecto nulla suscipit facilis magni quaerat. Nulla praesentium libero sit qui quo corporis. Eos voluptatem doloribus.
Ad aliquid molestiae unde mollitia. Vel suscipit nesciunt."
45,2726,3,"Inventore quas sequi quidem eveniet quo consequatur.
Eligendi unde non eos debitis sed quaerat. Laborum minima labore similique cumque culpa.
Nam reprehenderit labore. Repellendus rem autem. Esse voluptatibus veniam eos ea."
46,1891,5,"Et hic odit incidunt. Sed quis consequuntur nostrum laudantium. Tempora vero cumque illo quo quaerat autem id. Quia id velit.
Cum laboriosam dolores molestias dolorem. Facere commodi cumque vitae occaecati est molestias. Quis veniam fugiat ipsum autem magni accusantium.
Similique eaque minus ut."
47,1967,5,"At fugit dicta iusto. Illum fuga saepe rem in quod aut.
Velit porro minima illum. Inventore inventore placeat perspiciatis quas. Laborum aperiam pariatur asperiores ab.
Assumenda esse reiciendis fugit. Consectetur vero molestiae optio aperiam."
48,157,4,"Id amet nemo corporis. Alias voluptates voluptas maxime culpa impedit voluptates. Aspernatur nisi nemo labore quia accusantium molestiae maiores.
Voluptatum quo aliquid excepturi earum odio corrupti. Laudantium iure tenetur cum aliquid laboriosam. Nisi voluptate unde neque maxime doloribus."
49,1822,1,"Odio magnam corporis suscipit dolor quos. Dolore non autem ut blanditiis. Veniam consequuntur corporis culpa quia eius libero.
Accusamus nam quidem dolore rerum. Iste ullam veritatis dicta nulla.
Quas provident itaque eum aliquam sed porro. Non facere ea totam ratione."
50,1533,3,"Aut sint rerum eum repellat exercitationem voluptas. Repudiandae expedita eum aliquam exercitationem enim animi nihil.
Saepe quidem unde sapiente ipsum quam. Rem illum est veritatis.
Occaecati mollitia reprehenderit. Consectetur et esse eos aspernatur."
51,434,5,"Cumque iure quaerat amet praesentium. Officia repellat architecto impedit cum. Molestias iusto recusandae.
Assumenda voluptates optio excepturi. Et non nulla totam aliquid tempora."
52,910,3,"Officiis est qui tempora tempora. Corrupti dicta maxime beatae officiis doloribus.
Amet sint impedit error laboriosam similique. Aliquam architecto quod officiis iste."
53,1586,3,"Corporis officiis saepe omnis. Numquam reiciendis magnam architecto possimus adipisci.
Esse fuga possimus adipisci repellat exercitationem veniam. Accusamus adipisci odio. Libero sunt corrupti dolores porro.
Laudantium molestiae quisquam eius aperiam laudantium ipsum."
54,477,3,"Voluptates excepturi non ipsam. Ipsum unde ab maxime voluptas. Odio eius reprehenderit dignissimos repellat sunt voluptatum.
Quos deleniti ducimus animi voluptas nemo.
Ea facilis enim quam. Eligendi illum nesciunt quaerat. Rem sed nemo quidem quia a provident deleniti."
55,442,5,"Cumque culpa minima fugiat. Eius veritatis amet dolorum.
Tempore optio deserunt libero non blanditiis itaque nulla. Repudiandae veritatis dignissimos reiciendis.
Ea ipsum nulla dolorem aliquam. Quo accusantium eos sunt iure."
56,969,5,"Doloremque accusantium deleniti. Officiis quos eius quia. Nisi maiores voluptas velit quas modi.
Quo iure deleniti. Earum inventore animi repellat numquam dolores.
Rem incidunt id id. Eos cupiditate quos commodi consequuntur possimus. Minus doloremque accusantium voluptas nesciunt fugit."
57,727,5,"Odit perferendis aspernatur aliquid sit dolorem labore culpa. Esse doloribus officia perferendis commodi corporis corporis aspernatur.
Soluta optio alias repellendus recusandae explicabo ullam. Magni dolorem nemo quasi.
Accusamus iure sunt quis. Repellendus eveniet consequatur non excepturi."
58,1762,3,"Similique nobis architecto quo molestiae. Dolor in impedit repellat.
Ex modi adipisci commodi nostrum vel. Culpa totam aspernatur quia eius. Voluptatibus itaque et dolor hic dolorem.
Delectus fugiat accusantium ipsam aspernatur. Sint nulla odit."
59,48,4,"Perferendis cumque eius neque. Animi voluptatem quis cupiditate distinctio.
Vero accusantium consequatur animi animi. Fuga quos tempore laudantium laborum laborum at. Pariatur saepe veniam quos voluptas commodi."
60,1936,5,"Esse repudiandae occaecati neque. Nobis debitis consequuntur suscipit atque explicabo.
Distinctio nisi earum maxime suscipit aliquid porro. Nisi itaque voluptatem similique. Illum id at enim qui quasi."
61,1650,5,Sed eaque beatae a debitis in quibusdam deserunt. Deleniti in dolorem quidem voluptatum nesciunt repellat. Asperiores accusamus id aliquid iste eius saepe neque.
62,1229,3,"Quos debitis nam cumque cumque nihil. Voluptatibus atque adipisci tempora sed reprehenderit sunt.
Repellendus dolores quam ducimus. Eveniet voluptatem omnis provident.
Mollitia quo in fugiat. Excepturi suscipit quisquam magnam ab veritatis."
63,2701,1,"Libero eos maxime a modi a. Molestiae hic et est facere modi. Autem cupiditate consequatur alias ad saepe.
Vel iure voluptatem temporibus incidunt. Ullam unde repellat quod dolor dolores quos. Odio minima amet quae qui."
64,1617,4,"Eveniet repellendus minima ea qui tenetur.
Quasi sapiente error deleniti repudiandae quas. Aliquid doloremque molestiae explicabo est.
Ipsum id iste officiis porro magni corrupti. Facilis nihil natus fuga excepturi. Hic pariatur laboriosam aut non officiis.
Molestias quisquam eos nemo."
65,1013,2,"Nemo repellat consequatur culpa vero nam incidunt fugit.
Sunt nulla deleniti magni aut odit neque quidem. Voluptatem quia possimus natus. Delectus earum distinctio magni fuga asperiores omnis.
Ex modi nam culpa. Eaque numquam optio dicta a ullam. Maiores ad quaerat quis vero."
66,2101,1,"Beatae illo nobis velit excepturi maxime doloremque. Praesentium molestiae iusto nostrum. Exercitationem voluptatibus vel alias corrupti maxime.
Fuga inventore quae. Dolores pariatur optio velit delectus ea."
67,623,5,"Porro fugiat occaecati quae aliquid rem. Nulla quos iusto libero aperiam. Quod perferendis mollitia illum.
Minima dolores veritatis.
Incidunt doloribus mollitia nulla alias accusantium. Reprehenderit natus hic labore."
68,2097,2,"Omnis itaque repudiandae in. Iure commodi deserunt omnis cupiditate maxime. Nihil odit quos similique modi eius cum. Voluptate officiis temporibus quidem minima illo.
Numquam suscipit impedit repellendus. Dolor reiciendis atque dicta animi."
69,2844,4,"Tenetur vitae officia ut numquam delectus. Dolorum ab vel eligendi dignissimos.
Harum omnis numquam laborum et. Quae nostrum harum consequatur dolorem sed vel corrupti. Quasi minima consequuntur vero numquam ducimus."
70,1846,5,"Earum voluptates beatae alias magni. Accusantium a at eaque nam doloremque. Dignissimos aperiam non recusandae libero.
Dignissimos distinctio placeat harum a ab. Quibusdam natus quae hic est. Eaque quas harum quas cum mollitia illo."
71,268,4,"Dolore libero aliquam vel qui. Asperiores animi nostrum asperiores maiores exercitationem. Dignissimos sequi dolorem placeat quisquam aliquam odio soluta.
Facilis cumque sed quibusdam. Earum quae sequi porro hic consequatur officia. Nesciunt excepturi quasi deserunt."
72,67,5,"Eveniet inventore animi excepturi. Sed temporibus commodi eaque sequi iusto.
Beatae occaecati nemo et ex.
Iste numquam tenetur cupiditate atque perspiciatis soluta cupiditate. Explicabo blanditiis exercitationem. Suscipit recusandae recusandae earum."
73,2680,5,"Suscipit eum recusandae nam laudantium. Sunt aspernatur iste dolorum. Quia dicta explicabo labore.
Alias quisquam aut ipsam unde. Vitae ad ut voluptate suscipit. Tempore et temporibus necessitatibus magnam architecto veritatis. Alias illo omnis hic molestias aperiam itaque vel."
74,1268,4,"Cumque ex quisquam ratione. Architecto ipsam perspiciatis accusantium consequatur quisquam. Neque nisi blanditiis quia possimus exercitationem a.
Velit quibusdam illo consequuntur natus quis. Excepturi magni explicabo quas. Velit sit odio voluptatibus."
75,2108,5,"Aliquam blanditiis animi magni. Esse commodi inventore. Nesciunt dignissimos quia cupiditate minus blanditiis.
Asperiores est rerum iste. Beatae aspernatur dolores quos.
Reiciendis modi cum iusto saepe.
Ullam aut odit a facilis. Harum optio eius."
76,590,4,"Aperiam reiciendis quis voluptatem ut nam. Amet expedita deleniti distinctio. Vitae hic dolorum nostrum.
Dicta accusamus non praesentium excepturi molestias commodi et. Quaerat itaque dolores a doloribus velit explicabo."
77,49,5,"Temporibus quia soluta blanditiis facere tempore magni. Vel nulla aliquam modi. Consequatur officia in earum.
Tenetur itaque dolorum iusto. Deserunt ipsa repudiandae asperiores.
Sequi earum assumenda ea eligendi voluptates. Quae soluta perspiciatis beatae non."
78,1401,2,"Tempora molestias est ex vero tempore numquam consequatur. Iusto placeat eveniet qui omnis laudantium.
Facere similique ut dicta exercitationem nulla. Explicabo voluptate culpa ab consequuntur sed velit at."
79,2573,5,"Numquam ducimus doloribus quidem sunt eum eos possimus.
Expedita sequi natus assumenda velit.
Dignissimos repellat illo nulla vitae. Ducimus facilis magni consequatur reiciendis nesciunt.
Minima non quaerat iusto excepturi nostrum."
80,932,2,"Repudiandae rerum deleniti placeat nihil saepe. Ipsum vero quae dolor porro. Labore ea maxime at soluta.
Voluptates ab accusamus eos fugiat. Provident quidem ipsa dicta labore amet cum ullam. Libero doloremque recusandae officia deserunt."
81,746,1,"Officiis distinctio voluptatem nam quasi aperiam. Perspiciatis totam dignissimos corporis delectus. Deleniti vel est.
Amet illo voluptatem illo cumque odit itaque. Eum earum nulla rerum in quod odit quae."
82,2952,5,"Similique iusto animi temporibus tenetur pariatur. Velit qui soluta enim a eos. Corporis ea perspiciatis soluta voluptatem cupiditate.
Quia veniam ab dolores vitae sapiente. Veniam repudiandae voluptas unde. Corrupti mollitia unde amet. Nam nam sed ducimus quidem."
83,2030,2,"Excepturi dolore facilis numquam provident rem. Occaecati tempore sed doloremque culpa aspernatur. Corporis nam dolorum totam.
Perferendis sequi ad ut possimus accusantium molestias.
In eaque veniam earum occaecati porro. Iusto dicta quaerat aliquid delectus."
84,2930,5,"Ex exercitationem cupiditate fuga voluptatum amet quisquam. Modi labore provident recusandae quod rerum.
Ratione quis et quibusdam. Doloribus nostrum alias odit dignissimos expedita. Repellendus modi velit eligendi."
85,666,2,"Esse a officia et sapiente maxime. Id dolor eos ea ducimus. Non sapiente iure molestiae est rerum.
Velit sunt reprehenderit. Eos beatae molestiae fugiat."
86,1581,5,"Cumque ab nulla est perferendis asperiores voluptatem. Consequuntur inventore ipsum ad quod.
Atque architecto voluptatibus hic vel iure veniam. Incidunt quia necessitatibus dicta. Autem laborum cum quidem animi. Vitae ullam accusamus repellendus neque saepe provident."
87,758,3,"Ullam cumque beatae quis laudantium nobis ut. Cumque commodi asperiores tenetur ad voluptatibus.
Voluptatem beatae sit necessitatibus delectus non. Accusantium harum similique blanditiis. Error corporis temporibus quos consequuntur. Iusto inventore eos magni facere ea culpa eligendi."
88,46,1,"Iure magnam quae enim tempora. Deleniti saepe id inventore dignissimos neque nulla. Nobis sequi voluptas blanditiis tempora alias culpa reiciendis.
Sed harum voluptatem nostrum sed consequatur. Occaecati ab soluta atque facilis nihil consequuntur."
89,1437,3,"Placeat culpa tempora similique iusto. Repellendus repellendus ea excepturi ducimus maiores iure maxime.
Officiis hic ex quidem est laudantium dolor. Recusandae harum vel aliquam molestiae porro similique."
90,2981,1,"Accusamus deleniti quae earum magni. Quam illum voluptate. Laborum deleniti et amet rerum. Aspernatur voluptatum quis odio sunt.
Tempore aspernatur veritatis modi debitis. Modi voluptatem asperiores facilis reiciendis. Voluptatem delectus voluptates sapiente aspernatur."
91,1813,2,"In molestiae deleniti tempora totam. Autem dolor fugit nisi totam hic officiis.
Eaque pariatur eaque odit animi. Placeat tenetur nobis quae ex perspiciatis cum.
Provident magnam est labore unde perspiciatis accusantium. Rerum iure distinctio commodi officia. Nostrum asperiores neque rem eos."
92,703,3,"Omnis excepturi ea suscipit necessitatibus nostrum maxime. Officiis a doloribus repellendus accusamus. Alias dolore exercitationem ad quae eum odit.
Officia facere hic tempora perferendis ut incidunt. Exercitationem officiis natus aspernatur minima itaque commodi."
93,877,3,"Similique unde iure eius quaerat. Laboriosam quo harum.
Sunt in perferendis sunt architecto voluptatibus. Architecto facere voluptatem quas aperiam. Minus blanditiis veniam nisi.
Eum at cum molestiae similique dicta enim.
Temporibus repudiandae nam beatae iusto. Nesciunt consectetur eius odit."
94,1455,3,"Deserunt qui suscipit doloribus dolor atque voluptate.
Beatae veritatis earum aut eaque.
Corrupti error similique minima molestiae."
95,1984,1,"Explicabo culpa odio ratione libero ut nostrum consequuntur.
Optio itaque vel explicabo nemo illum dolor natus. Libero maxime repudiandae aperiam sit beatae. Similique cumque praesentium placeat.
Quisquam ab aliquid voluptate iste hic. Iusto animi itaque similique aliquam hic possimus."
96,2490,1,"Architecto repellendus veritatis vitae sequi necessitatibus. Exercitationem eum inventore fuga. Aperiam commodi quibusdam debitis eaque nisi vero. Facilis error eius doloremque esse labore in.
Nisi laborum animi soluta. Ratione quaerat hic soluta adipisci neque. Nam occaecati fugit molestias."
97,1665,4,"Inventore quia cumque vel animi molestias. Earum sapiente illo at quos praesentium.
Perspiciatis nostrum asperiores sequi repellat recusandae. Est quasi culpa dignissimos soluta minima dicta. Harum corrupti maxime debitis occaecati."
98,425,4,"Nesciunt iusto facilis.
Sed eveniet non alias perferendis. At ut maxime aut ad voluptates tenetur.
Explicabo aperiam cumque corrupti nesciunt. Ad quisquam eius repudiandae eligendi fugiat.
Ab sunt libero. Corporis commodi velit."
99,2830,4,"Ab sit consequuntur fugiat rerum dolorum. Soluta repellat inventore corporis voluptatibus vel sint reprehenderit.
At voluptatem quod quae tempora. Quidem at odit.
Impedit commodi repellendus libero. Porro quos delectus veritatis corporis maxime id."
100,1419,4,"Vero quaerat illum at totam consectetur assumenda. Repellendus unde accusamus.
Totam distinctio consectetur explicabo. Quas architecto reiciendis assumenda. Dolores mollitia nemo.
Doloremque soluta alias omnis. Harum laborum aliquid."
101,1663,4,"Repellendus aliquid dignissimos facere sint atque vero. Quos facere repellat quaerat quae eligendi a.
Id ratione repellendus dolores asperiores atque. Provident nesciunt quod omnis nulla repudiandae assumenda soluta."
102,585,5,"Cupiditate omnis quibusdam dolores debitis perspiciatis. Perspiciatis eos esse architecto nobis aperiam. Vero quidem asperiores maiores.
Aspernatur fugit hic blanditiis nemo perferendis iusto. Velit libero quo similique cum."
103,68,4,"Exercitationem omnis voluptate autem repellendus. Distinctio error similique quas voluptas.
Voluptates architecto minus dolorum.
Quas totam consequatur tenetur. Maiores quas esse beatae dicta."
104,2014,3,"Cumque vitae reprehenderit rerum. Quis vitae quasi corrupti. Itaque a natus deleniti asperiores saepe quia a.
Soluta quae sed amet magnam impedit praesentium.
Maxime incidunt voluptatibus aut saepe. Eveniet inventore vero deserunt dolor. Inventore iusto iste dolores esse dolore."
105,2123,5,"Fugiat iusto nostrum ipsam. Dicta cumque quibusdam libero. Hic aut laborum ex.
Iusto labore occaecati exercitationem beatae illo libero ad. Magnam dolore repellendus laboriosam.
Fugiat a iusto dicta praesentium. Eos distinctio commodi quas maiores."
106,1050,4,"Maxime perferendis quia occaecati consequatur accusantium aut. Soluta neque odio.
Ut sunt consequuntur quod nulla illo omnis.
Saepe perferendis dolorem totam. Quia rerum nulla magnam quo eius nobis. Voluptatum quam minima ad debitis officiis blanditiis."
107,1249,5,"Expedita iusto ipsam dignissimos soluta. Explicabo nemo nesciunt aliquid molestias repudiandae.
Minus explicabo hic numquam dignissimos minus nulla. Tenetur accusantium cum. Facere ut dicta ullam id a."
108,1237,5,Dolore molestias occaecati facilis. Sed suscipit temporibus deserunt provident vero. Fugiat fuga quae voluptates architecto. Quibusdam nam dicta commodi consequuntur nemo sequi.
109,1869,3,"Vel error labore fugit minus quasi necessitatibus cumque. Eligendi dolor velit fuga. Dolorum quod dignissimos iusto optio nulla. Reprehenderit unde nisi nisi tenetur.
Facilis voluptates placeat reprehenderit quis error."
110,2948,1,"Sed in similique quis. Veniam eos amet accusamus odio necessitatibus.
Accusamus possimus ducimus esse delectus maiores perspiciatis. Necessitatibus voluptates quaerat quos."
111,2552,2,"Reprehenderit eveniet non deleniti voluptatem id. Labore ullam nihil recusandae.
Dolores aliquid sed blanditiis nisi enim saepe laborum. Nulla vitae quidem blanditiis. Hic velit illum quidem veniam necessitatibus illum accusantium."
112,2783,1,"Mollitia ipsa voluptas. Quod tenetur consequatur. Fugit ad doloribus accusantium fugiat.
Quasi molestias voluptas rerum deleniti magnam voluptate.
Tenetur natus dicta quas. Itaque sit nobis qui temporibus unde quidem illo. Ipsum quasi quibusdam occaecati reiciendis quibusdam."
113,1677,4,"A quae enim porro. Autem officia voluptatum quibusdam. Ab perferendis cum reiciendis quasi fuga quia.
Repudiandae distinctio corporis rem autem sit tempora. Veritatis ad ipsum similique consequatur."
114,2310,5,"Ut nobis optio illo. Debitis magni fuga cum deserunt consequuntur. Saepe in vel exercitationem.
Cum modi libero. Dolore facere voluptatibus qui eius ipsa. Aperiam natus repellat eum molestias.
Cumque ipsa voluptatibus nisi fuga minus aliquid.
Ducimus quis assumenda porro corrupti laboriosam."
115,2500,1,"Laborum assumenda necessitatibus omnis tempore dolorum. Tempora culpa labore nam laborum hic consequatur. Fugiat placeat quos sint doloribus.
Ratione tempore quisquam sint. Dolorem rerum nobis officiis ducimus quis."
116,273,5,Iste accusamus accusamus architecto est hic eius. Quos nihil assumenda ex excepturi optio mollitia. Doloremque provident eaque corporis iusto porro dignissimos.
117,2490,4,"Soluta eum odio minima quas. Amet nihil nobis exercitationem.
Ad itaque fuga necessitatibus. Cumque quidem voluptatum cumque. Aspernatur corrupti perferendis mollitia possimus."
118,1310,4,"Dolores recusandae sequi nisi cum. Tempore quisquam nobis cupiditate quis placeat. Maxime quas provident sequi animi expedita incidunt.
Dolor occaecati corrupti nam alias. Voluptatem debitis voluptas tempore vel."
119,1132,2,"Voluptatibus neque voluptatem. Repudiandae itaque consectetur quasi recusandae corrupti.
Maiores expedita cumque quas. Exercitationem cum consequatur vel expedita. Hic tempora aspernatur dolores dolorum ipsa repellendus. Accusamus praesentium a dicta fugit tempora."
