id,id_cliente,id_categoria,status_projeto,titulo,descricao,orcamento
22,22,6,Projeto Concluído,Velit Placeat Sistema,Necessitatibus provident perferendis dolorem porro libero blanditiis eveniet. Iure natus aliquam ducimus nesciunt dignissimos ullam. Dolores dicta a asperiores odio ducimus beatae.,57.99
23,23,4,Aberto a Propostas,Quae Deleniti Projeto,Amet impedit necessitatibus sit. Harum vitae quo. Nihil accusamus quibusdam sit sit odit voluptates. Itaque esse atque.,484.48
24,24,9,Aberto a Propostas,Rem Voluptatum Plataforma,Reprehenderit repellendus nulla ipsum repellendus fugiat iure. Debitis laboriosam unde eligendi laborum delectus.,131.79
25,25,6,Projeto Concluído,Temporibus Minus Projeto,"Repudiandae id ab incidunt. Facilis quod delectus at in quidem deleniti.
Quae suscipit veniam cupiditate dolores iure blanditiis. Dolores eum perspiciatis modi est.",228.34
26,26,6,Aberto a Propostas,Earum Laudantium Solução,Ad dolor labore sunt ipsam porro. Quidem deleniti rem voluptatem. Alias provident nemo at molestiae consequuntur temporibus.,486.09
27,27,10,Projeto em Execução,Velit Dignissimos Projeto,"Illum ut exercitationem asperiores ipsum soluta neque sit. Cum qui accusamus eum voluptatibus quis consequuntur. Magnam culpa labore animi.
Delectus ab voluptatum. Quaerat natus autem nesciunt.",276.69
28,28,4,Projeto em Execução,Consectetur Culpa Sistema,Reprehenderit quos consequuntur aliquid nisi temporibus. Ipsa voluptatum blanditiis. Sit nostrum recusandae tenetur quo libero voluptas. Odio delectus blanditiis porro eos quam.,379.77
29,29,4,Aberto a Propostas,Aliquid Natus Projeto,Neque eligendi adipisci delectus et. Adipisci eum culpa libero mollitia. Incidunt voluptate quas magnam.,398.72
30,30,10,Aberto a Propostas,Nesciunt Accusantium Solução,"Suscipit nisi sequi incidunt adipisci consequatur.
Possimus quam nobis culpa placeat eos dolores. Illum itaque aspernatur excepturi perspiciatis. Repellat deleniti quas architecto voluptates.",996.52
31,31,6,Aberto a Propostas,Recusandae Alias Sistema,"Aperiam adipisci expedita minima. Nisi voluptate ipsa error totam veritatis.
Voluptas porro odit enim assumenda quos. Maiores doloremque dolore quas nihil.",65.69
32,32,3,Aberto a Propostas,Optio Hic Projeto,"Sed ea magnam magnam laboriosam voluptates debitis rerum.
Hic sequi ea ut repellendus. Beatae rem vero voluptatibus aperiam eveniet. Delectus voluptatum reprehenderit earum quibusdam.",43.55
33,33,8,Projeto em Execução,Est At Sistema,Minima atque alias cum voluptate. Cum blanditiis sunt suscipit fuga. Architecto ipsum ab quibusdam dolorum explicabo odit.,816.61
34,34,10,Projeto Concluído,Alias Repudiandae Projeto,"Ullam fugit ab totam at molestias quidem. Amet sit praesentium odio. A animi reprehenderit doloribus nesciunt facilis.
Non quam error id et animi. Quisquam odio amet.",422.77
35,35,1,Projeto Concluído,A Est Plataforma,"Esse tempora nesciunt eos at quisquam accusamus culpa. Doloremque quas qui cumque necessitatibus deserunt asperiores.
Laudantium dolor cumque rem adipisci aliquam vel ducimus. Unde dolores suscipit.",743.92
36,36,7,Projeto Concluído,Doloremque Voluptatum Projeto,Aperiam id necessitatibus labore quidem necessitatibus veniam. Recusandae sit culpa harum. Exercitationem deserunt cupiditate assumenda qui maxime dolorem nihil.,24.65
37,37,8,Projeto em Execução,Debitis At Plataforma,Quibusdam ipsam non temporibus atque nulla. Nulla libero sunt necessitatibus. Tempore perspiciatis iusto ab.,816.68
38,38,10,Projeto em Execução,Quos Animi Plataforma,"Harum eum consectetur nisi eius totam quis.
Natus praesentium laudantium expedita quisquam illum. Exercitationem inventore sed quos.
Rem voluptatibus molestias.",452.09
39,39,7,Aberto a Propostas,Ipsum Maiores Sistema,"Cum minus fugiat quibusdam similique harum quae. Pariatur soluta saepe dicta. Tenetur laudantium voluptas accusantium laboriosam.
Vitae odio aut consequatur sit.",812.11
40,40,8,Aberto a Propostas,Cumque Odio Projeto,Provident at asperiores cumque perspiciatis blanditiis error. Officiis labore tempora eaque doloremque delectus cupiditate.,371.74
41,41,6,Aberto a Propostas,Harum Nesciunt Plataforma,"Excepturi maiores ipsa eaque. At quis tempora minima debitis.
Quam cumque atque earum earum. Accusantium adipisci error modi. Earum nobis culpa harum nam nostrum.",483.20
42,42,3,Projeto Concluído,Occaecati Distinctio Sistema,"Ratione ullam deserunt nostrum iure ducimus. Rerum exercitationem perferendis est.
Voluptatibus explicabo ex debitis beatae nihil. Provident veritatis excepturi odio exercitationem consectetur.",912.53
43,43,7,Projeto em Execução,Placeat Nemo Sistema,Animi provident aliquam ut occaecati molestias iusto molestiae. Placeat autem voluptatem corporis. Ab veniam cum voluptas.,752.18
44,44,9,Aberto a Propostas,Praesentium Sit Projeto,Maiores dolore voluptatem facere delectus dolore natus. Occaecati ipsam dolore exercitationem omnis quis nostrum repudiandae.,811.90
45,45,4,Projeto em Execução,Sunt Veniam Projeto,Molestiae numquam similique quae autem deserunt. Odit impedit totam sapiente dicta illo. Vel officia magni ea labore nostrum.,221.13
46,46,1,Aberto a Propostas,Illo Ab Solução,Occaecati consequatur explicabo praesentium culpa. Ipsa dignissimos deleniti soluta temporibus molestias. Voluptatibus ex odit.,337.76
47,47,3,Projeto Concluído,Itaque Dicta Solução,"Maiores recusandae odio dicta omnis. Eveniet officia pariatur magni.
Sequi delectus ipsam aut dolorem mollitia dolorem. Quos repellendus provident similique eos illo repellendus.",228.16
48,48,3,Projeto Concluído,Repudiandae Placeat Sistema,"Libero eligendi explicabo natus. A atque error eveniet occaecati vitae nulla. Molestias ab eaque.
Atque rerum facilis. Possimus amet pariatur vitae quasi iure cupiditate voluptates.",142.77
49,49,9,Aberto a Propostas,Porro Nemo Solução,"Magni porro necessitatibus facilis accusantium. Possimus eius tempore facilis eligendi tenetur quasi. Quis voluptatibus dolore quis nulla impedit.
Sint debitis doloribus sint et.",232.78
50,50,1,Aberto a Propostas,Esse Odit Projeto,"Voluptatum fugiat quod nam. Consequatur dolore nihil consequatur optio illum eum.
Ducimus praesentium ratione at. Inventore necessitatibus similique atque reiciendis.",945.26
51,51,10,Projeto Concluído,Ad Distinctio Projeto,"Eos fugiat earum ut doloribus. Nesciunt et nemo. Eius nulla sed iste debitis sapiente.
Accusamus fuga asperiores dolor ea earum. Corporis odit dolore earum sit. Qui veniam culpa in.",869.89
52,52,4,Projeto em Execução,Accusantium Ullam Plataforma,Sequi facilis nihil sint minima. Qui magni eligendi numquam blanditiis provident qui aliquam.,249.18
53,53,10,Projeto em Execução,Officia Necessitatibus Sistema,"Porro dolor enim iste optio doloribus possimus. Doloribus laborum similique cum labore voluptatum. Nobis id distinctio quia sint.
Non sed enim est hic dolores. Facere dicta asperiores aperiam.",675.61
54,54,6,Aberto a Propostas,Sequi Corrupti Projeto,Facere tempora vero nemo cum minima. Vitae assumenda alias similique. Accusamus ipsum qui magni earum dolor.,726.23
55,55,6,Projeto em Execução,Atque Voluptas Projeto,Praesentium eos incidunt animi pariatur. Et corporis magni saepe consectetur assumenda. Libero veritatis delectus recusandae rerum cumque.,691.60
56,56,8,Aberto a Propostas,Quaerat Nemo Plataforma,Qui earum sint unde at id. Reiciendis architecto illum maiores nihil. Voluptas ipsum dignissimos blanditiis architecto illo.,860.74
57,57,3,Aberto a Propostas,Quibusdam Dicta Solução,Laboriosam laborum nisi voluptatem unde nisi fugiat facilis. Voluptatibus vel totam inventore. Distinctio sunt dolore doloremque maxime voluptas ab.,904.49
58,58,9,Projeto Concluído,Veritatis Libero Sistema,Maiores voluptates nostrum quos libero eveniet. Quaerat explicabo earum. Labore quo a iste voluptatibus recusandae modi molestias.,143.87
59,59,1,Projeto Concluído,Expedita Error Sistema,Voluptatum consequatur commodi aut eos dolorum. Tenetur dolorum sed eligendi nisi aspernatur.,263.56
60,60,2,Projeto Concluído,Odit Dolore Solução,"Assumenda quia magni doloremque.
Odit vel voluptatibus.",127.62
61,61,5,Projeto em Execução,Quos Expedita Projeto,Minima quia deleniti laboriosam dolorem. Amet rerum cumque aut. Excepturi aperiam culpa incidunt laborum deserunt.,859.75
62,62,4,Aberto a Propostas,Voluptates Nesciunt Projeto,"Quisquam totam qui laboriosam. Libero culpa natus iure.
Tempore impedit illo in. Quas totam aperiam sapiente voluptatum eveniet quisquam.",417.48
63,63,1,Projeto em Execução,Quae Culpa Plataforma,Sapiente incidunt pariatur explicabo perferendis. Nemo laboriosam quibusdam laudantium tempore illo laborum.,403.85
64,64,2,Aberto a Propostas,Reprehenderit Dolorum Sistema,"Earum quas sunt voluptas sed perferendis.
Ducimus fugiat rerum similique officia. Esse quia placeat veniam. Natus cum laboriosam consequuntur tempora eligendi.",794.69
65,65,9,Projeto Concluído,Aspernatur Laboriosam Plataforma,Omnis autem explicabo mollitia vel nihil magnam. Doloremque quisquam reiciendis dolor quos nisi minus.,570.30
66,66,5,Projeto Concluído,Voluptate Consequatur Plataforma,"Vitae hic nihil tempore. Modi consectetur quae quidem est dolore est.
Veritatis qui quia occaecati animi cumque explicabo. Quasi alias temporibus.
Natus nam soluta suscipit. Totam vitae placeat.",252.22
67,67,9,Projeto Concluído,Earum Consequatur Sistema,Eveniet labore minima consequatur ducimus dicta quidem. Repudiandae eligendi minus magnam ab.,215.59
68,68,2,Projeto em Execução,Dolorem Mollitia Plataforma,"Recusandae excepturi laborum autem. Voluptates alias eius.
Illum quasi necessitatibus quibusdam occaecati necessitatibus aliquam. Atque doloribus reprehenderit totam non.",220.98
69,69,10,Projeto em Execução,Fuga Atque Projeto,Officiis vel praesentium corporis. Cumque unde aliquam consequuntur consequatur alias.,393.39
70,70,3,Aberto a Propostas,Enim Sit Solução,Assumenda cupiditate nulla quo iure. Sapiente voluptatem dicta architecto esse veritatis deserunt. Nostrum rerum autem eaque facere.,792.78
71,71,5,Projeto Concluído,Id Alias Plataforma,Nulla quisquam aliquam laboriosam eius rerum autem ipsum. Voluptatum distinctio cupiditate ad. Distinctio corporis maiores perspiciatis perspiciatis quisquam.,734.91
72,72,7,Aberto a Propostas,Velit Porro Projeto,Itaque voluptates exercitationem amet nihil vel laborum. Quis cumque ipsam sint quos architecto est.,703.54
73,73,2,Projeto em Execução,Qui Quibusdam Solução,Itaque quia eveniet laborum qui. Aut hic vero mollitia perspiciatis tempore.,123.87
74,74,8,Projeto Concluído,Perferendis Rem Solução,Quas unde culpa mollitia et. Vero rerum nam impedit eaque fugit. Sunt dolor cum totam libero rem.,450.58
75,75,2,Projeto Concluído,Placeat Minus Sistema,"Delectus architecto dicta dolorum corrupti architecto. Pariatur incidunt repudiandae ex eaque.
Architecto tenetur fugiat tenetur error libero. Quasi aspernatur ullam blanditiis hic.",413.73
76,76,4,Aberto a Propostas,Doloremque Molestias Projeto,Illo tenetur minima consectetur officiis. Et molestiae dignissimos eaque deleniti eos. Sunt blanditiis dolore illum. Totam est atque nam nobis.,27.84
77,77,3,Projeto Concluído,Aut Nam Plataforma,Debitis nobis illo atque ipsum. Minus iste debitis distinctio minus.,520.14
78,78,1,Projeto em Execução,Similique Tempora Plataforma,"Consequatur at esse autem alias at. Consequuntur similique rem sed quam eius. Saepe corrupti optio dolor ratione.
Nostrum quia quaerat. Assumenda rerum maiores ullam. Quas nesciunt atque numquam.",890.52
79,79,6,Aberto a Propostas,Sequi Error Plataforma,"Eveniet magni modi libero cum laboriosam. Nesciunt esse quia iure.
Reiciendis corrupti omnis nisi vel soluta. Placeat ipsa doloremque debitis. Dicta aspernatur laborum occaecati unde architecto.",137.01
80,80,8,Aberto a Propostas,Accusantium Voluptates Sistema,"Aliquam sit porro nesciunt ipsa facilis ad. Consectetur quaerat iusto provident.
Maxime perspiciatis corrupti. Animi minima cumque. Cum eligendi quibusdam ut delectus.",544.43
81,81,10,Projeto em Execução,Voluptatum Exercitationem Sistema,Vitae sed nostrum. Reprehenderit alias facilis deleniti ex. Cum iure corrupti repellat dignissimos accusamus cupiditate ipsam. Sequi doloribus voluptates.,423.24
82,82,1,Projeto em Execução,Omnis Laboriosam Projeto,"Aut assumenda ut nemo animi itaque blanditiis. Doloribus aliquam fuga autem.
Doloremque perferendis illo deleniti. Quis porro eius cum possimus.
Odit numquam quo veniam accusamus mollitia.",199.21
83,83,4,Projeto em Execução,Corporis Debitis Sistema,"Velit quos sequi voluptatem iste. Placeat quo atque consectetur. Dicta modi veniam cumque odit.
Iusto laborum occaecati iste. Velit esse sunt est.",894.04
84,84,10,Aberto a Propostas,Impedit Totam Projeto,Maiores sit asperiores consequuntur quisquam vel cumque. Hic facilis non corrupti delectus illo aliquam. Quisquam incidunt officiis quia ipsa similique.,668.29
85,85,9,Projeto Concluído,Sit Alias Solução,"Quisquam beatae molestiae quia occaecati quod vel reprehenderit. At porro eveniet possimus error eum.
Itaque ea fugit maiores saepe. Ipsam nulla fugiat nulla natus quas veritatis.",464.94
86,86,3,Aberto a Propostas,Fugiat Ipsam Sistema,Quidem vitae porro cum animi assumenda voluptas. Explicabo corporis quo voluptate accusamus sed commodi.,538.55
87,87,3,Projeto Concluído,Pariatur Cumque Sistema,Sapiente totam labore omnis eius esse. Possimus itaque omnis ducimus enim laboriosam. Iste tempora excepturi soluta aliquid. Tempora fugit eos voluptate commodi consequuntur.,178.07
88,88,2,Projeto Cancelado,Labore Nemo Plataforma,Tempore atque exercitationem repellendus. Beatae sapiente omnis excepturi similique minima cumque. Maiores dolores libero ullam. Sint provident nesciunt.,575.46
89,89,9,Projeto Cancelado,Ipsam Eveniet Solução,Atque quasi explicabo vitae eum cumque. Iste atque quas maiores eos. Saepe nihil ipsam sed praesentium corrupti eum animi. Architecto ab numquam delectus et nihil nam.,329.13
90,90,7,Projeto Concluído,Fugit Accusantium Solução,"Ipsum ad placeat. Ducimus vero omnis inventore.
Voluptates explicabo vero maiores dolor. Quibusdam labore autem nisi voluptatem. Ab magnam modi.",375.84
91,91,7,Projeto Concluído,Eum Voluptatum Sistema,"Non facere facilis rerum. Enim excepturi ad tempore molestias nobis consequuntur.
Quasi quas facilis architecto praesentium.",99.63
92,92,3,Projeto Cancelado,Illum Quas Projeto,Sequi corporis nihil debitis dignissimos. Quo quos nisi asperiores culpa quos commodi. Excepturi sunt veritatis architecto.,540.61
93,93,1,Projeto em Execução,Labore Fugiat Sistema,"Quam quia exercitationem saepe fugiat et harum. Quos laboriosam beatae voluptatibus ullam.
Unde ea similique fuga quis amet enim.",951.77
94,94,7,Projeto Concluído,Sunt Natus Solução,Corrupti quis facere labore itaque sint doloribus. Culpa beatae debitis sit veniam fugit quis. Unde vitae eveniet hic eos iure.,131.02
95,95,7,Projeto Cancelado,Laboriosam Mollitia Sistema,Excepturi voluptatibus aperiam omnis. Maxime nihil est voluptatum quis.,933.37
96,96,7,Aberto a Propostas,Maxime Natus Plataforma,"Fugiat exercitationem quibusdam magni dolore. Alias beatae modi.
Saepe ratione autem quae. Molestiae voluptas repudiandae suscipit. Amet adipisci fuga hic aliquam.",472.43
97,97,9,Aberto a Propostas,Ab Pariatur Projeto,Non aliquid corrupti et deserunt. Odit eius modi corrupti. Veniam voluptatem tempora ipsam deserunt. Vero ipsum sed dolorum facilis reprehenderit ex.,339.81
98,98,2,Projeto Concluído,Expedita Quis Solução,"Dolorem voluptatibus expedita eveniet. Minima quaerat eum eum voluptatum.
Quis libero voluptatem deleniti. Voluptate impedit inventore adipisci iste enim. Ducimus magni numquam quo.",432.00
99,99,1,Aberto a Propostas,Quasi Dolores Projeto,Architecto impedit autem aut cupiditate. Vel ducimus vitae. Laborum veniam ex ab aperiam.,114.72
100,100,10,Projeto em Execução,Eligendi Dolorum Projeto,Nisi necessitatibus temporibus suscipit ea. Culpa quasi natus deleniti ratione eveniet ullam commodi. Consectetur saepe odio ullam quisquam architecto nobis.,114.27
101,101,6,Aberto a Propostas,Ratione Animi Projeto,Deserunt in id magni voluptas aliquid maxime in. Ipsa fugiat quasi ipsa illo earum sed consectetur. Ad architecto repellat harum id.,422.66
102,102,8,Projeto Concluído,Vero Fuga Projeto,Sapiente aliquam consequatur neque sapiente repellat. Ullam veniam vitae nihil ipsum aut atque quo.,115.46
103,103,2,Aberto a Propostas,Cupiditate Ullam Plataforma,Ut quisquam dolore consequatur. Sequi perferendis nemo. Totam tempore minus qui eveniet minima nam reiciendis.,927.73
104,104,7,Projeto Concluído,Natus Aliquid Plataforma,Vitae enim quibusdam nisi porro excepturi ipsam. Unde omnis accusantium ab repellendus in sequi.,555.34
105,105,4,Projeto Concluído,Ad Dolorem Sistema,"Maiores blanditiis tempora id. Aut maxime suscipit vitae debitis.
Voluptate cumque assumenda accusamus ut dolores minus. Nihil quam quos doloremque omnis perspiciatis. Accusamus hic quaerat autem.",640.92
106,106,2,Aberto a Propostas,Nesciunt Quasi Sistema,"Pariatur dolore excepturi inventore.
Asperiores suscipit iure accusantium numquam.",137.42
107,107,8,Aberto a Propostas,Incidunt Ut Plataforma,"Maiores placeat sed porro dignissimos natus. Voluptas illum sit incidunt quasi. Nam iusto aperiam ratione.
Repellat quasi explicabo nulla sequi a itaque. Dignissimos numquam quasi vel expedita.",33.71
108,108,2,Aberto a Propostas,Fuga Laudantium Sistema,"Suscipit quos porro impedit. Numquam ad vel molestiae deserunt reprehenderit.
Cumque facilis animi ipsum ad. Amet ipsam molestiae eveniet cum. Dolor impedit maxime reprehenderit quam iusto.",33.90
109,109,2,Aberto a Propostas,Nesciunt Maiores Solução,"In maxime quibusdam sequi a voluptatem.
Omnis eum blanditiis ullam aspernatur delectus. Laboriosam hic molestiae explicabo cupiditate maiores. Aperiam quibusdam quasi optio qui assumenda.",796.46
110,110,10,Projeto em Execução,Magni Quam Plataforma,Maiores eveniet quam tenetur id. Minus explicabo quisquam at. Quisquam voluptates perferendis dignissimos maiores temporibus.,215.88
111,111,3,Projeto Concluído,Ipsum Nobis Plataforma,Temporibus aperiam voluptatem repellendus fuga exercitationem iure. Maxime nisi architecto facere non odit dignissimos.,985.54
112,112,8,Projeto em Execução,Earum Molestiae Projeto,Enim omnis enim nemo optio unde corporis. Voluptate similique natus. Alias quisquam in quisquam omnis necessitatibus.,636.57
113,113,1,Aberto a Propostas,Nemo Ad Sistema,"Ipsa debitis iste eaque minima tenetur. Minus voluptatum odio mollitia.
Maiores vel explicabo sed. Similique similique quia eius voluptatem. Debitis minus optio.",686.58
114,114,3,Projeto Concluído,Vitae Asperiores Projeto,Nisi eveniet quisquam dolorem perferendis. Fuga veniam ad fuga delectus. Amet minima accusantium.,364.35
115,115,10,Projeto Cancelado,Impedit Temporibus Plataforma,"Ea sit atque est voluptate sed qui ullam. Odit ducimus sapiente ea.
Tenetur velit cumque pariatur nam fugit.",822.61
116,116,5,Aberto a Propostas,Amet Tenetur Plataforma,"Aspernatur itaque dicta esse distinctio delectus molestiae amet.
Similique labore dolore occaecati debitis aspernatur. Dolores dolorem veritatis architecto veniam ea.
Libero quisquam illum.",768.79
117,117,5,Projeto Concluído,Vero Quisquam Plataforma,"Incidunt nihil consequatur dolore nam. Modi ut corporis iure pariatur. Iusto eligendi neque illo.
Nisi suscipit ut officiis rem quos. Sit odio vel maxime ratione. Dicta eum animi quia corporis nam.",312.54
118,118,3,Projeto Cancelado,Nihil Dolorum Projeto,"Eius nisi quibusdam quia occaecati libero. Ipsum molestias reiciendis non.
Accusantium beatae veniam veniam quam. Eum placeat cum architecto delectus nam at. Ullam odio expedita iste.",999.71
119,119,5,Aberto a Propostas,Porro Consequatur Solução,Nisi eius possimus maxime est. Sunt incidunt excepturi. Aut aliquam adipisci sed. Sapiente asperiores placeat neque cum.,382.26
120,120,9,Projeto em Execução,Voluptatum Tenetur Sistema,Commodi iste veniam beatae maiores. Totam voluptatum laudantium temporibus quia incidunt quasi. Laborum harum eos dicta.,708.90
121,121,1,Projeto Concluído,Reprehenderit Ullam Sistema,"Dolore distinctio ipsa deserunt tempora alias provident. Numquam nesciunt dolorem.
Veritatis voluptatibus quae ad est. Aperiam sit qui. Aliquam eaque earum perferendis voluptas maiores voluptatum.",109.79
122,122,4,Projeto Concluído,Sed Nihil Sistema,Maxime expedita error voluptatibus. Nulla dignissimos nobis consequatur maxime voluptate sunt blanditiis. Doloremque corporis unde aut.,793.60
123,123,4,Projeto Concluído,Modi Porro Sistema,Temporibus dolorem perspiciatis numquam doloremque. Voluptate nemo fugit totam beatae voluptates officia reprehenderit.,977.98
124,124,10,Projeto Cancelado,Velit Quas Projeto,"Quis eum suscipit expedita ipsum. Nam debitis officiis recusandae deserunt.
Magni necessitatibus delectus nemo a cum. Autem autem suscipit repellendus velit aliquid earum.",806.89
125,125,4,Projeto Cancelado,Veritatis Ea Solução,Libero adipisci inventore facere. Voluptatibus explicabo debitis tempore.,189.68
126,126,10,Projeto em Execução,Est Voluptatibus Solução,"Earum odio veritatis temporibus accusamus. Quam est repellat nemo non quidem laudantium.
Aliquid alias qui. Laboriosam animi saepe quasi aut aut. Ea commodi aperiam temporibus iste.",238.06
127,127,4,Aberto a Propostas,Ratione Tenetur Solução,"Tempore placeat commodi molestiae nostrum. Vero iusto a quae dolor maxime iusto.
Optio in sunt. Dignissimos impedit eligendi aliquid vitae. Tempore vero fugit nisi veniam.",224.05
128,128,10,Projeto em Execução,Explicabo Illo Sistema,Fugit nihil assumenda. Quo perferendis rem. Eveniet veniam nam quidem cumque excepturi. Explicabo odio corporis similique ut omnis neque.,866.37
129,129,8,Projeto em Execução,Quibusdam Tempora Plataforma,Voluptatum accusantium natus neque. Ad nemo sed magni vero amet a nulla. Autem veritatis saepe corrupti odio porro ab.,68.08
130,130,4,Projeto Concluído,Dolorum Laborum Sistema,"Perspiciatis architecto voluptas laboriosam. Ea suscipit ratione.
Nam aliquam architecto impedit consequatur molestiae. Consectetur doloremque quae cum voluptatem.",716.76
131,131,6,Projeto em Execução,Sunt Incidunt Solução,Doloremque alias quaerat aperiam assumenda. Nihil labore vel laudantium soluta laborum ea. Nesciunt eius pariatur. Ratione dignissimos quas aut earum iusto.,918.59
132,132,9,Projeto Cancelado,Ab Ad Projeto,"Facilis labore voluptas placeat harum accusamus at.
Et enim expedita suscipit. Id aliquid aliquam doloribus hic mollitia. Perspiciatis officiis ipsa laboriosam fugit dolorem deserunt.",472.08
133,133,9,Projeto Concluído,Accusantium Nihil Projeto,"Voluptatem temporibus ducimus minima consequatur fugit. Incidunt ipsam tenetur quis.
Facere non occaecati ullam. Unde natus tempore magnam quibusdam dolorum.",945.22
134,134,9,Projeto em Execução,Non Placeat Projeto,Velit dolore officiis maiores qui. Facilis magni reprehenderit aliquam delectus dignissimos ullam atque.,249.51
135,135,7,Aberto a Propostas,Culpa Nostrum Solução,Occaecati rerum quod deleniti aperiam possimus eos. Quidem veniam qui quasi quo doloremque.,388.66
136,136,9,Aberto a Propostas,Voluptatum Minima Plataforma,Maiores pariatur autem cum inventore. Dolor incidunt culpa aut accusamus alias. Eaque repellendus sapiente deleniti dignissimos porro at quaerat. Eaque unde non.,78.70
137,137,7,Projeto Concluído,Esse Atque Solução,"Eveniet molestias ratione. Asperiores fugiat debitis in.
Vero voluptates ad accusamus molestiae accusamus repellat. Quod mollitia harum molestias officia asperiores veritatis.",669.50
138,138,3,Projeto Concluído,Sapiente Vitae Sistema,"Repellat at fugiat eligendi dolore sint. Minima blanditiis tempora assumenda.
Corporis sint sequi. Quo omnis asperiores quisquam delectus harum officiis aliquid. Vel fugit quos quo porro inventore.",396.85
139,139,6,Projeto em Execução,Id Voluptate Sistema,"Vitae corporis perspiciatis odio consequatur odit. Ab voluptatem dolorem possimus.
Dignissimos voluptatum consectetur. Voluptates neque accusantium quas.",577.46
140,140,4,Projeto Cancelado,Ducimus Totam Sistema,Voluptas libero vitae numquam cumque culpa est. Doloribus blanditiis eveniet. Quia cumque nobis repellat soluta.,822.59
