id,id_projeto,id_freelancer,status_proposta,valor_proposta,prazo_entrega,descricao
28,28,2335,Aceita/Em Andamento,4040.28,2025-05-15 06:59:57,"Illo nisi fugit saepe in sint sit. Beatae necessitatibus suscipit atque quidem officiis aliquid.
Sint laborum rem quisquam quam aperiam. Sint voluptatum explicabo suscipit fugit voluptatum dolore. Ducimus in nobis voluptate placeat.
Non rerum voluptas possimus laborum ad sit. Saepe repellendus tempore voluptatem ipsum. Velit tenetur eius."
29,29,2206,Recusada,6743.06,2025-05-13 06:42:21,Occaecati debitis excepturi quae nam neque. Nobis sapiente optio ab totam. Iure soluta soluta ratione. Nesciunt similique vel magni repudiandae officia quod.
30,30,1847,Recusada,8813.07,2025-05-20 12:00:59,"Similique quam dolor id atque ipsam mollitia. Et voluptates vero perspiciatis.
Provident veniam ex architecto adipisci aperiam quae.
Quaerat optio cumque recusandae beatae. Eligendi sit rem sit dolor. Dolores ratione maiores."
31,31,2690,Recusada,7260.10,2025-05-09 21:41:20,"Tempora iure temporibus aliquid consectetur nisi molestias. Dolores reiciendis vel voluptates voluptas. Dignissimos corporis animi praesentium dolorum voluptate.
Commodi exercitationem facilis molestias. Velit quia blanditiis recusandae voluptas soluta unde nobis. Id earum enim quaerat consequuntur aut minus animi."
32,32,624,Pendente,3422.49,2025-05-20 01:32:03,"Ex beatae corrupti deleniti voluptate beatae impedit. Suscipit unde cumque illo.
Quidem ad ullam et autem.
Eaque dolore deserunt nesciunt. Aut repellat enim illo aperiam.
Fugiat quam perspiciatis fuga nostrum. Cum totam praesentium placeat quidem. Natus dolor corrupti expedita nam voluptate."
33,33,1447,Aceita/Em Andamento,4375.97,2025-05-09 12:21:47,"Nemo exercitationem amet eligendi ipsum harum tenetur repellat. Nobis tempora quo pariatur alias adipisci labore. Eveniet velit quos qui.
Aspernatur ab quae nulla. Sit aut quidem asperiores reprehenderit. Dolorum voluptas doloremque rem quo cupiditate quo. Alias placeat odio architecto accusamus."
34,34,2313,Aceita/Finalizada,7444.39,2025-05-19 13:20:25,"Libero nesciunt commodi fugit eaque minus voluptatum. Similique reprehenderit delectus neque ullam expedita. Rem quam consequatur.
Vitae mollitia commodi culpa. Numquam numquam iure velit dolorem vitae suscipit.
Eaque repellat a corrupti autem quaerat. Blanditiis error et alias quod. Consectetur qui aspernatur est reprehenderit odit."
35,35,2267,Aceita/Finalizada,5037.01,2025-05-19 14:16:06,"Sapiente tempore at quis nisi tempora deleniti.
Nostrum quibusdam tenetur fugiat voluptatibus et. Nobis quasi exercitationem voluptatem porro earum.
Delectus ad soluta tempore eius. Perferendis id molestiae vero.
Molestiae consequuntur esse unde commodi. Numquam vel nisi.
Ipsum aspernatur ipsum. Suscipit nemo quis blanditiis neque iste."
36,36,425,Aceita/Finalizada,9148.27,2025-05-12 10:11:16,"Et eum facilis doloremque. Minus sequi incidunt provident adipisci tenetur.
Molestiae facilis facere. Sint autem facere beatae iste animi. Blanditiis quisquam aperiam veniam tempora provident."
37,37,2713,Aceita/Em Andamento,8658.35,2025-05-20 13:17:13,"Repudiandae dolorem deserunt aliquam quibusdam facere quasi. Fugit occaecati assumenda quisquam nesciunt. Earum in molestiae ipsam consequuntur dolores.
Nulla earum dignissimos voluptates. Suscipit consectetur voluptatibus ipsa exercitationem ratione."
38,38,1937,Aceita/Em Andamento,8807.58,2025-05-20 21:27:48,"Neque mollitia tempore dolorem. Ipsam at ex sit omnis harum vel. Occaecati recusandae blanditiis nesciunt delectus.
Possimus voluptas nemo distinctio aut consequatur. Voluptate nam eaque assumenda sunt. Iure ducimus rem.
Ad minima reiciendis magni modi. Quibusdam laborum adipisci maiores.
Quisquam laudantium velit tenetur."
39,39,886,Pendente,1656.31,2025-05-15 13:03:53,"Sit in nam non minus. In accusamus debitis. Facere praesentium libero aperiam.
Numquam sapiente illum assumenda beatae suscipit. Aliquam architecto hic.
Necessitatibus esse ea fugiat impedit commodi iusto.
Similique ab quasi necessitatibus delectus aut soluta. Consequatur eligendi nostrum sit vero inventore tenetur."
40,40,498,Pendente,3300.05,2025-05-17 19:39:38,"Corporis consequuntur voluptatum quos perspiciatis nulla animi et. Eius asperiores maxime. Illo repellat fugit ratione et quos nobis.
Repellat quisquam nostrum sint itaque. Consectetur tempore eum nulla. Facere doloribus aperiam libero cupiditate inventore officia necessitatibus."
41,41,2175,Pendente,8758.99,2025-05-16 05:41:28,"Illo blanditiis amet vero aut perspiciatis nihil. Enim minus fugiat.
Non enim amet soluta quaerat doloremque culpa. Illum corporis maiores corporis. Nihil dignissimos dolores maxime ratione voluptas maiores.
Recusandae veniam earum sequi odio. Nesciunt debitis maxime. Ea odit vitae sapiente quaerat assumenda nostrum voluptatem."
42,42,2275,Aceita/Finalizada,9135.91,2025-05-09 07:15:24,"Eligendi provident ullam ullam repellendus beatae. Vitae maiores est distinctio eos rerum.
Fugiat atque repellat exercitationem fuga distinctio. Quis consequatur exercitationem blanditiis. Repellat architecto odio fugiat dicta deserunt iste.
Officia eos nesciunt impedit ratione qui iure. Consectetur voluptate in quaerat facere. Amet esse dolore."
43,43,2657,Aceita/Em Andamento,1669.73,2025-05-19 01:21:59,"Nihil ab esse iusto dolore veritatis harum. Ducimus doloremque voluptas vitae optio asperiores. Officia perspiciatis minus.
Eius quasi nam nihil recusandae rerum libero. Repellendus odit reiciendis numquam facere cumque. Iste atque totam magni sapiente quisquam. Animi dolore iure tenetur illo cum explicabo."
44,44,2720,Pendente,5254.33,2025-05-11 14:49:43,"Vero nihil laudantium fugit eaque. Alias rerum debitis vitae dolorum. Nulla vitae reprehenderit explicabo laudantium. Eaque sunt consequatur mollitia laudantium perspiciatis ratione.
Unde est consequatur voluptates id nam. Laudantium expedita asperiores ut eius."
45,45,230,Aceita/Em Andamento,1530.14,2025-05-18 08:01:26,"Itaque inventore dolor. Blanditiis illo qui beatae sint.
Fugiat debitis optio provident reprehenderit sunt suscipit. Modi tempora nesciunt optio deleniti cupiditate cum laboriosam.
Animi dolorum natus iusto pariatur dolores accusamus. Ipsam et vel minus sapiente id. Ad quasi sint delectus quasi.
Odit sunt impedit quasi a voluptatum quibusdam."
46,46,1165,Pendente,3437.81,2025-05-08 23:20:11,"Nihil cum excepturi veniam commodi laborum voluptatum. Commodi quos omnis atque rerum velit.
Nisi inventore magnam dolorem.
Sequi odio ipsam eos pariatur. Reiciendis doloremque accusamus officia omnis fugiat. Quisquam placeat quos aspernatur neque consequuntur."
47,47,490,Aceita/Finalizada,1189.56,2025-05-18 10:33:58,"Tempora alias at nam distinctio quia quo. Porro ipsum saepe optio. Provident possimus asperiores dolore voluptates quo sit.
Magni quam vel totam assumenda. Aspernatur atque maiores neque neque recusandae. Deleniti veritatis voluptas id sapiente porro pariatur."
48,48,2560,Aceita/Finalizada,2701.42,2025-05-11 00:44:33,"Quis repellat cupiditate libero. Perferendis illum blanditiis veniam.
Maiores nemo ipsum. Adipisci aliquam beatae inventore sunt omnis.
Magnam expedita mollitia necessitatibus sapiente quod eveniet. Quae eaque repellendus.
Dolorum temporibus exercitationem maiores deleniti quasi. Vero facere esse consequatur incidunt placeat."
49,49,2693,Pendente,5647.24,2025-05-13 20:38:48,"Laboriosam modi quod odio. Aliquid quo vitae.
Suscipit animi nisi deserunt. Quod incidunt sed architecto veniam doloremque quae. Quo quisquam iure deleniti dolores sint ad.
In tempore dolores quis. Reiciendis excepturi tempore reprehenderit. Ab in perferendis necessitatibus earum."
50,50,799,Recusada,3614.64,2025-05-20 18:34:35,"Distinctio nobis animi minima laborum. Officia ratione pariatur vel odio quia. Blanditiis sunt accusantium nobis.
Tempora id et voluptas reprehenderit dolores ab.
Laudantium doloremque quas recusandae quaerat eum. Facere neque ipsum autem laudantium fugit. Maxime molestias illum magni."
51,51,476,Aceita/Finalizada,732.07,2025-05-12 00:45:56,"Mollitia minima accusamus iste. Maiores quasi esse ipsa. Placeat nisi dolor earum optio qui.
Et assumenda repellat fuga id. Beatae officia cupiditate. Ipsum minus in natus quas.
Quidem quisquam quia animi veritatis quo fuga. Aperiam blanditiis culpa dicta ipsum magni ipsa occaecati. Iusto aperiam impedit rerum repudiandae."
52,52,689,Aceita/Em Andamento,7284.74,2025-05-16 19:40:50,"Quaerat asperiores asperiores sint deserunt iste. Cumque impedit illum tempore. Architecto accusamus excepturi quos. Architecto voluptas reiciendis qui possimus enim.
Velit enim nemo eveniet facilis perspiciatis. Debitis consectetur reprehenderit modi."
53,53,483,Aceita/Em Andamento,3376.56,2025-05-11 11:46:37,"Corporis cum laudantium. Similique laudantium aut aliquid.
Ex veritatis dignissimos officiis. Eum maxime numquam distinctio quibusdam excepturi cupiditate. Occaecati nostrum error impedit mollitia nam. Ipsa accusamus aliquid autem illo."
54,54,664,Pendente,44.04,2025-05-15 21:45:55,"Dolores aliquam tempora. Sint tempore libero odio.
Vitae in unde quibusdam non aspernatur. Id reprehenderit laudantium doloribus necessitatibus commodi neque deleniti. In tempore sapiente quasi corrupti magni.
Sapiente quod rem atque unde. Tempore libero sit. Non magnam rem."
55,55,1262,Aceita/Em Andamento,9171.25,2025-05-09 20:38:50,"Sint a eum odit necessitatibus. Blanditiis illum voluptatibus eos cumque provident eaque labore. Et molestias consequatur culpa.
Asperiores quibusdam libero explicabo animi iure quae. Distinctio in provident dolore dolorum error sequi et."
56,56,2781,Pendente,2955.52,2025-05-13 10:21:21,"Soluta quod enim blanditiis accusantium. Pariatur ut quo porro sit.
Cupiditate nisi hic. Provident totam corporis placeat dolorem omnis alias. Similique unde aspernatur officia impedit.
Possimus ullam accusamus vel. Aliquid ab ipsum repellat provident molestiae. Illum voluptates ad corrupti soluta."
57,57,267,Pendente,8352.80,2025-05-17 22:31:40,"Necessitatibus consectetur iusto. Molestiae voluptate cumque. Consequuntur voluptatum odio unde nostrum inventore omnis.
Suscipit hic dicta consequatur nesciunt est. Mollitia magnam consectetur minus deserunt adipisci."
58,58,2576,Aceita/Finalizada,9187.26,2025-05-09 15:53:38,"Itaque quibusdam dolorum facere necessitatibus ex architecto. Quae ad voluptas. Ut cumque animi id deleniti sed reiciendis. Tempora reiciendis cupiditate tenetur.
Consequuntur aperiam odio beatae fugiat quae. Rem quisquam consequuntur explicabo ipsam.
Doloremque quis repellat rem inventore.
A repellendus dignissimos. Voluptatum a id magnam saepe."
59,59,2780,Aceita/Finalizada,1532.12,2025-05-20 02:04:22,"Animi eum ut dicta exercitationem perspiciatis dolorem. Laboriosam nemo quibusdam veniam facilis.
Iste voluptas saepe. Laboriosam tempora nobis quisquam.
Dicta assumenda a quos dolorum autem. Consequuntur sapiente nam modi hic."
60,60,2938,Aceita/Finalizada,4283.07,2025-05-08 22:40:27,"Eligendi consequuntur voluptatum ut. Vero rerum ullam iusto harum qui.
Repudiandae architecto eius facere ipsam enim illo. Quae voluptatum ea labore.
Rerum in iste deleniti recusandae. Necessitatibus nesciunt magni exercitationem quaerat deserunt. Rerum molestiae accusantium. A nesciunt voluptas."
61,61,285,Aceita/Em Andamento,9261.47,2025-05-11 15:01:15,"Quam facilis nostrum eaque. Laborum blanditiis corporis laudantium corporis.
Odit neque aut quas odit fuga. Dolor nobis totam maiores.
Perspiciatis quos natus mollitia aliquid velit. Unde commodi vel nisi. Minima neque facilis."
62,62,287,Pendente,949.49,2025-05-21 06:09:49,"Minima officia numquam mollitia est aliquid assumenda eligendi. Sunt impedit unde distinctio.
Fugiat quis quasi fuga sed. Quam deserunt quo.
Iure ipsam unde cum ducimus in ea. Commodi alias fugit excepturi voluptates accusamus.
Facere adipisci quidem modi neque nesciunt. Deleniti occaecati suscipit est sit."
63,63,2118,Aceita/Em Andamento,9779.14,2025-05-15 04:35:56,"Delectus et neque. Beatae reiciendis cum magni facere consequuntur minus.
Accusamus maiores assumenda cupiditate. In facilis aliquid nostrum occaecati qui dolorum.
Commodi nesciunt dignissimos consequuntur omnis. At accusamus quod quae."
64,64,494,Recusada,4914.41,2025-05-15 18:58:07,"Quae perferendis ad sit. Quae maxime ex cumque.
Nobis dolores modi laboriosam. Rem nulla molestiae corporis.
Id suscipit molestias cumque possimus accusantium. Fugiat iste perferendis atque.
Veritatis libero natus debitis vel. Maxime odio maxime possimus assumenda quidem architecto."
65,65,2556,Aceita/Finalizada,9345.95,2025-05-14 09:14:42,"A voluptatibus natus itaque nihil suscipit repellat eos. Aspernatur officia quia odio id rerum. Quasi iure nihil deserunt mollitia.
Aliquid tempore ad quasi libero. Voluptatum voluptatum molestias alias minima non rerum. Quaerat architecto accusantium voluptas illum aut iusto delectus."
66,66,1037,Aceita/Finalizada,3666.90,2025-05-15 09:53:03,"Dolore quis quis blanditiis consequatur eaque. Laudantium ipsa dolor pariatur optio.
Quasi repellat ad eligendi. Laborum iusto vitae mollitia. Doloribus ad excepturi iste quia.
Alias eveniet ab illo officia veniam. Occaecati ratione illo provident suscipit voluptates."
67,67,1688,Aceita/Finalizada,6005.11,2025-05-14 01:02:25,"Magni cum sint magni repellat beatae ex. Soluta officiis doloremque itaque expedita.
At minima sit sit provident voluptatem eligendi. Corrupti fuga fugiat esse voluptates nisi eius.
Eos architecto expedita ipsam necessitatibus suscipit incidunt. Dicta facere at magnam veniam id."
68,68,120,Aceita/Em Andamento,2967.21,2025-05-14 00:25:26,"Illo minus natus cum nihil. Sapiente consequuntur consequatur quia.
Corporis cumque nobis molestiae harum quas. Modi perspiciatis est. Facere vel voluptates illum numquam occaecati.
Saepe sapiente voluptatibus. Ipsum quam at occaecati.
Repellendus adipisci dolorem ratione quam. Fugit ad sint corrupti modi nulla."
69,69,1927,Aceita/Em Andamento,5113.42,2025-05-15 00:43:47,"Quae aperiam pariatur vero nobis. Voluptates maiores eius accusantium velit consectetur ratione.
Eveniet pariatur sequi quidem nemo.
Facilis alias voluptatum aperiam praesentium facilis sapiente.
Inventore porro molestiae at ratione esse provident. Illum omnis ipsam consectetur minus.
Quam odit eius aperiam. Vel voluptate ullam ipsum assumenda."
70,70,2163,Pendente,8387.87,2025-05-17 06:10:19,"Quas accusantium blanditiis totam quae. Repellat non possimus aliquam nobis non quae. Eligendi provident rerum mollitia laudantium delectus labore.
Possimus odio eum distinctio deserunt harum. Aliquid ad ab earum voluptates quod.
Molestiae placeat architecto. Ut voluptates adipisci eum unde perspiciatis repudiandae. Et incidunt ipsa impedit."
71,71,1357,Aceita/Finalizada,4901.61,2025-05-17 12:03:19,"Fuga non magni non natus inventore.
Exercitationem odio ducimus. Ipsa optio sed ipsa optio exercitationem.
Id maiores amet illum a at. Consequuntur aspernatur corrupti fuga officiis eos itaque.
Sit iste id dolorum tempora quas magnam. Iure provident ea ratione quam qui. Dolores exercitationem magnam eius necessitatibus."
72,72,2338,Pendente,4721.20,2025-05-20 09:17:15,"Delectus doloremque amet molestiae sunt eligendi accusamus veritatis. Numquam asperiores consequatur amet facere animi. Esse fugiat nisi modi et asperiores iste omnis.
Quibusdam deserunt quisquam consequuntur. Maiores eveniet quia quaerat illo necessitatibus. Modi amet praesentium quos veniam et in."
73,73,804,Aceita/Em Andamento,3169.32,2025-05-16 02:36:27,"Ea enim velit commodi quo magnam et. Iste distinctio neque voluptatum dolore. Accusamus eveniet accusamus id magnam consequatur.
Fugiat quam unde id enim consequatur. Molestias voluptates in at.
Fugiat culpa velit perferendis quis. Id quae possimus ut sequi quisquam."
74,74,936,Aceita/Finalizada,8560.19,2025-05-09 13:09:41,"Eius totam eum sed velit. Magni iure facilis nihil. Quisquam fugit nesciunt suscipit placeat a sapiente.
Incidunt dicta enim numquam. Ipsa praesentium architecto ad sit laboriosam.
Laudantium maiores facilis impedit pariatur. Expedita animi natus earum.
Blanditiis harum quis voluptates. Quibusdam magni explicabo debitis."
75,75,948,Aceita/Finalizada,1464.31,2025-05-09 01:10:38,"Aspernatur delectus libero nemo nisi ad ut. Ratione molestiae impedit perferendis et eligendi. Ea quod quidem illo repudiandae non.
Vero itaque pariatur ipsum aperiam. Deleniti est iure neque quas culpa repellendus quaerat. Voluptatibus quam impedit nisi atque quibusdam. Velit sapiente deserunt in maxime."
76,76,2925,Pendente,5437.88,2025-05-20 11:27:15,"Occaecati veritatis sint sed. Dicta unde tempora velit. Voluptatum esse aliquid aspernatur sapiente cumque dignissimos.
Quo ab nostrum doloremque exercitationem. Voluptatibus nihil iure tenetur repellendus dolore porro. Quos veritatis adipisci necessitatibus quisquam quia unde. Qui saepe eveniet dignissimos enim quibusdam molestiae doloribus."
77,77,1497,Aceita/Finalizada,5818.53,2025-05-12 04:18:08,"Officiis expedita magni eaque assumenda perspiciatis quae distinctio. Excepturi quia cupiditate recusandae eveniet saepe nisi. Aut suscipit sapiente quas perspiciatis tenetur ab.
Vero impedit tenetur. Nemo deleniti voluptatibus excepturi quod non numquam enim. Fugit porro voluptas debitis."
78,78,346,Aceita/Em Andamento,3667.92,2025-05-19 22:10:05,"Harum eius suscipit consectetur officiis reprehenderit. Reiciendis suscipit architecto iusto dolore repudiandae aliquam aliquid. Totam amet reiciendis consequuntur a vero officia est. Eos molestias occaecati consequatur molestias.
Dolorem error vero commodi voluptates veniam harum. Autem corporis voluptates quidem nostrum."
79,79,2852,Pendente,2342.30,2025-05-19 06:51:25,"Perferendis voluptatum nulla repudiandae neque consequatur perspiciatis deserunt. Totam accusamus delectus saepe at expedita aut. Vero esse quisquam nulla aliquam debitis assumenda.
Ratione occaecati architecto. Veniam quas distinctio velit illo.
Sunt sequi aut sit molestiae nesciunt. Repudiandae sint repellat necessitatibus fugiat sint corrupti."
80,80,1819,Recusada,1992.37,2025-05-14 02:08:25,"Quibusdam atque quidem sunt praesentium quae quisquam. Nihil veniam aperiam cum voluptatem illum deleniti architecto.
Perferendis aperiam ipsa minus quibusdam placeat blanditiis. Minima illum quo totam unde."
81,81,873,Aceita/Em Andamento,3951.95,2025-05-11 18:06:36,"Fugit excepturi minus sapiente consectetur error libero temporibus. Sapiente esse illo sequi.
Aut repellendus deserunt. Vel tenetur blanditiis ad neque dignissimos similique. Adipisci enim pariatur at culpa.
Hic fugit reprehenderit id illo possimus eum. Optio aspernatur eligendi."
82,82,629,Aceita/Em Andamento,2361.98,2025-05-17 09:49:17,"Possimus reiciendis aut eveniet ad debitis quasi. Eos quibusdam error fuga.
Labore cumque eos ipsa vel.
Delectus id expedita voluptates architecto rem. Id veritatis vel nobis doloribus.
Iure nisi laudantium veniam quia. Inventore culpa voluptatibus. Reprehenderit temporibus voluptates libero quidem necessitatibus laboriosam."
